Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_4(1),0,1,17,6.52E+09,601.19,0,0,0.154426,0,0,1055,0,238.53,1.18E+10,7.63E+10,1.18E+10,364.544,19560,75772,129115,0.779534,0.778821,75740,128950,0.726253,0.724355
ICCAD2023_floorplanning_case_4(1),0,1,18,6.24E+09,601.193,0,0,0.19975,0,0,1049,0,257.762,1.25E+10,6.27E+10,1.25E+10,346.809,19560,75713,128891,0.752095,0.749519,75685,128111,0.789586,0.78183
ICCAD2023_floorplanning_case_4(1),0,1,19,6.55E+09,601.177,0,0,0.155036,0,0,956,0,261.488,1.21E+10,7.78E+10,1.21E+10,395.372,19560,75773,129056,0.767637,0.766594,75802,128704,0.781539,0.778647
ICCAD2023_floorplanning_case_4(1),0,1,20,6.34E+09,601.081,0,0,0.123021,0,0,838,0,262.752,1.18E+10,9.62E+10,1.18E+10,378.933,19560,75992,129142,0.795696,0.797442,75806,128834,0.708884,0.707011
ICCAD2023_floorplanning_case_3(1),0,1,1,1.47E+08,100.002,0,0,0.223411,0,0,722,0,1.646,5.84E+08,2.61E+09,5.84E+08,4.097,3720,39963,41374,0.808736,0.79978,40318,41386,0.744381,0.742892
去掉根据面积比sort的结果,,,,,,,,,,,,,,,,,,,,,,,,,,
ICCAD2023_floorplanning_case_3(1),0,1,1,1.10617e+08,100.002,0,0,0.324996,0,0,766,0,1.658,6.66188e+08,2.04984e+09,6.66188e+08,3.197,3720,40311,40689,0.810966,0.795575,40320,40560,0.773387,0.756473,
ICCAD2023_floorplanning_case_3(1),0,1,2,1.24932e+08,100.001,0,0,0.306984,0,0,756,0,1.756,7.36853e+08,2.4003e+09,7.36853e+08,4.028,3720,40247,40646,0.807936,0.790508,40128,41211,0.768731,0.760349,
ICCAD2023_floorplanning_case_3(1),0,1,3,1.02212e+08,100.002,0,0,0.309449,0,0,843,0,1.871,6.64261e+08,2.14659e+09,6.64261e+08,3.511,3720,40260,41316,0.801754,0.797648,39888,40301,0.776086,0.746184,
ICCAD2023_floorplanning_case_3(1),0,1,4,1.17507e+08,100.001,0,0,0.265149,0,0,808,0,2.135,6.50887e+08,2.4548e+09,6.50887e+08,4.521,3720,40324,41251,0.782469,0.778472,38088,41285,0.835095,0.785406,
ICCAD2023_floorplanning_case_3(1),0,1,5,1.41747e+08,100.001,0,0,0.419564,0,0,664,0,7.038,6.64679e+08,1.58421e+09,6.64679e+08,49.602,3720,39897,41393,0.808169,0.798265,40388,40717,0.757005,0.744569,
ICCAD2023_floorplanning_case_3(1),0,1,6,1.10101e+08,100.002,0,0,0.340139,0,0,822,0,0.889,6.55318e+08,1.92662e+09,6.55318e+08,2.987,3720,39072,41184,0.829579,0.798417,39161,41343,0.774936,0.750412,
ICCAD2023_floorplanning_case_3(1),0,1,7,1.18058e+08,100.002,0,0,0.257746,0,0,751,0,1.553,6.89293e+08,2.67431e+09,6.89293e+08,3.818,3720,40385,41322,0.800722,0.79921,40032,40706,0.762396,0.743061,
ICCAD2023_floorplanning_case_3(1),0,1,8,1.48131e+08,100.002,0,0,0.435773,0,0,761,0,4.221,8.33931e+08,1.91368e+09,8.33931e+08,6.145,3720,39333,41028,0.827249,0.798457,40277,40047,0.772918,0.745656,
ICCAD2023_floorplanning_case_3(1),0,1,9,1.26178e+08,100.002,0,0,0.24749,0,0,784,0,0.983,7.14237e+08,2.88592e+09,7.14237e+08,2.929,3720,40353,41118,0.804924,0.798804,39892,41110,0.764383,0.74976,
ICCAD2023_floorplanning_case_3(1),0,1,10,1.04324e+08,100.001,0,0,0.326817,0,0,880,0,3.807,7.50806e+08,2.29733e+09,7.50806e+08,5.918,3720,40194,41331,0.799448,0.794338,38256,38792,0.848621,0.75324,
ICCAD2023_floorplanning_case_3(1),0,1,11,1.04557e+08,100.001,0,0,0.330824,0,0,877,0,1.569,7.38084e+08,2.23105e+09,7.38084e+08,3.81,3720,40307,41316,0.779268,0.776182,40383,40416,0.80944,0.790159,
ICCAD2023_floorplanning_case_4(1),0,1,1,9.47401e+09,300.009,0,0,0.158691,0,0,330,0,136.831,1.25535e+10,7.91068e+10,1.25535e+10,254.009,19560,75808,128172,0.760343,0.754457,75809,128979,0.786914,0.785749,
