Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_3(1),0,1,10,9.31E+07,100.2,0,0,0.218234,0,0,0,0,1.549,4.51E+08,2.07E+09,4.51E+08,4.178,3720,40322,41263,0.788774,0.784935,40128,40944,0.782637,0.769088
ICCAD2023_floorplanning_case_3(1),0,1,11,8.53E+07,100.196,0,0,0.152255,0,0,0,0,2.108,4.05E+08,2.66E+09,4.05E+08,4.721,3720,40397,41019,0.788461,0.781434,40224,41328,0.780088,0.775624
ICCAD2023_floorplanning_case_3(1),0,1,12,6.70E+08,100.386,0,0,0.305973,0,0,0,0,97.368,6.70E+08,2.19E+09,6.70E+08,99.994,3720,39653,41383,0.806321,0.791378,39836,40960,0.779837,0.761057
ICCAD2023_floorplanning_case_3(1),0,1,13,7.82E+07,100.224,0,0,0.32303,0,0,0,0,1.107,6.45E+08,2.00E+09,6.45E+08,3.726,3720,40458,40921,0.791513,0.783766,37920,41184,0.825515,0.77108
ICCAD2023_floorplanning_case_3(1),0,1,10,9.31E+07,100.219,0,0,0.218234,0,0,0,0,1.639,4.51E+08,2.07E+09,4.51E+08,4.295,3720,40322,41263,0.788774,0.784935,40128,40944,0.782637,0.769088
7.28.17.05：更改了localsearch中最优解更新先合法化轮廓,,,,,,,,,,,,,,,,,,,,,,,,,,
ICCAD2023_floorplanning_case_2(1),0,1,1,1.58E+07,0.689,0,0,0.601819,0,0,0,0,0.021,4.23E+07,7.04E+07,4.23E+07,0.072,420,21912,17420,0.909633,0.794539,19932,17259,0.94111,0.740842
ICCAD2023_floorplanning_case_2(1),0,1,2,1.36E+07,0.621,0,0,0.326553,0,0,0,0,0.004,2.38E+07,7.29E+07,2.38E+07,0.043,420,20064,17358,0.961903,0.766597,19932,17358,0.971033,0.768782
ICCAD2023_floorplanning_case_2(1),0,1,3,2.90E+07,0.499,0,0,0.602787,0,0,0,0,0.012,5.43E+07,9.24E+07,5.57E+07,0.049,420,22242,18837,0.827903,0.79375,22968,17259,0.817579,0.74163
ICCAD2023_floorplanning_case_2(1),0,1,4,1.62E+07,0.513,0,0,0.598999,0,0,0,0,0.011,4.29E+07,7.15E+07,4.28E+07,0.051,420,19800,18500,0.893567,0.749001,22638,17193,0.882915,0.78637
